countryCode;countryNameEn
ai;Anguilla
aq;Antarctica
as;American Samoa
aw;Aruba
ax;Aland
bl;Saint Barthélemy
bm;Bermuda
bq;Bonaire, Sint Eustatius, and Saba
bv;Bouvet Island
cc;Cocos (Keeling) Islands
ck;Cook Islands
cw;Curaçao
cx;Christmas Island
eh;Western Sahara
fk;Falkland Islands
gf;French Guyana
gg;Guernsey
gi;Gibraltar
gl;Greenland
gp;Guadeloupe
gs;South Georgia and South Sandwich Islands
gu;Guam
hk;Hong Kong
hm;Heard and McDonald Islands
im;Isle of Man
io;Birtish Indian Ocean Territory
je;Jersey
ky;Cayman Islands
mf;Saint Martin
mo;Macao
mp;Northern Mariana Islands
mq;Martinique
ms;Montserrat
nc;New Caledonia
nf;Norfolk Islands
nu;Niue
pf;French Polynesia
pm;Saint Pierre and Miquelon
pn;Pitcairn Islands
pr;Puerto Rico
ps;Palestine
re;Reùnion
sh;Saint Helena
sj;Svalbard and Jan Mayen
sx;Sint Maarten
tc;Turks and Caicos Islands
tf;French Southern Territories
tk;Tokelau
um;U.S. Outlying Islands
vg;British Virgin Islands
vi;U.S. Virgin Islands
wf;Wallis and Futuna
yt;Mayotte
